UID,formula,Egap,Ecbm,Evbm,Evac,Efermi,wf,EA,IE,work_function
1661,Zn1 Cl2,3.5858,-2.7225,-6.3083,1.342244664,-6.09321864,7.435463304,4.064744664,7.650544664,5.857644664
3421,In2 Se2,1.6284,-2.6178,-4.2462,1.788929845,-4.02880576,5.817735605,4.406729845,6.035129845,5.220929845
1665,Zr1 I2,0.7303,-0.8214,-1.5517,1.91273946,-1.34026805,3.25300751,2.73413946,3.46443946,3.09928946
2784,Sn1 S2,0.7761,-3.9193,-4.6954,1.666396278,-4.47689538,6.143291658,5.585696278,6.361796278,5.973746278
1483,Zn1 Br2,3.4842,-2.3088,-5.793,1.197031777,-5.58111622,6.778147997,3.505831777,6.990031777,5.247931777
132,In1 P1,1.1614,-3.2679,-4.4293,1.300999151,-4.21284257,5.513841721,4.568899151,5.730299151,5.149599151
116,B1 N1,4.6781,-0.4273,-5.1054,0.711383616,-4.89297859,5.604362206,1.138683616,5.816783616,3.477733616
3410,Ga2 S2,2.5464,-2.0908,-4.6372,1.665157475,-4.42088417,6.086041645,3.755957475,6.302357475,5.029157475
113,Al1 N1,2.9199,-1.656,-4.5759,0.74292861,-4.36487297,5.10780158,2.39892861,5.31882861,3.85887861
121,Ga1 P1,1.7268,-2.954,-4.6808,1.116900109,-4.46889378,5.585793889,4.070900109,5.797700109,4.934300109
137,Te1 Pb1,1.6391,-2.1761,-3.8152,1.689336547,-3.59671934,5.286055887,3.865436547,5.504536547,4.684986547
1419,Mg1 Cl2,6.059,-0.8395,-6.8985,1.336744863,-6.67733547,8.014080333,2.176244863,8.235244863,5.205744863
2689,Mo1 S2,1.7498,-2.3576,-4.1074,1.798378998,-3.89277855,5.691157548,4.155978998,5.905778998,5.030878998
2645,Ge1 O2,3.5496,-4.0459,-7.5955,1.272191452,-7.38147629,8.653667742,5.318091452,8.867691452,7.092891452
3475,Sc2 Se2,0.4344,-2.8671,-3.3015,1.848780136,-3.09261852,4.941398656,4.715880136,5.150280136,4.933080136
2803,Ti1 Se2,0.5452,-4.1077,-4.6529,1.44983083,-4.43688737,5.8867182,5.55753083,6.10273083,5.83013083
2656,Hf1 S2,1.0895,-4.1791,-5.2686,1.625981158,-5.0530106,6.678991758,5.805081158,6.894581158,6.349831158
112,Al1 As1,1.3317,-3.1184,-4.4501,0.760441048,-4.23684737,4.997288418,3.878841048,5.210541048,4.544691048
130,In1 As1,0.8658,-3.4416,-4.3074,1.192669,-4.09281856,5.28548756,4.634269,5.500069,5.067169
1664,Zr1 Cl2,0.9488,-1.5265,-2.4753,1.571807318,-2.26045209,3.832259408,3.098307318,4.047107318,3.572707318
2785,Sn1 Se2,0.7569,-3.759,-4.5159,1.459702933,-4.30086017,5.760563103,5.218702933,5.975602933,5.597152933
1418,Mg1 Br2,4.832,-1.2362,-6.0682,1.287281145,-5.85317063,7.140451775,2.523481145,7.355481145,4.939481145
1613,Pb1 Cl2,3.4286,-2.9432,-6.3718,1.333109255,-6.14922984,7.482339095,4.276309255,7.704909255,5.990609255
1455,Ru1 I2,1.1943,-1.733,-2.9273,1.696471881,-2.71654331,4.413015191,3.429471881,4.623771881,4.026621881
1453,Ru1 Br2,1.2078,-2.2577,-3.4655,1.308081484,-3.25265053,4.560732014,3.565781484,4.773581484,4.169681484
2724,Pb1 S2,0.6762,-4.5336,-5.2098,1.494717075,-4.9889978,6.483714875,6.028317075,6.704517075,6.366417075
2829,Zr1 Se2,0.7731,-4.0302,-4.8033,1.490821684,-4.58891778,6.079739464,5.521021684,6.294121684,5.907571684
