,huid,lat_a,lat_b,lat_c
414,huid-7010-AA,3.080614815643975,3.080608249807317,38.0
415,huid-7836-AA,3.882212629878946,3.8822126013581744,38.0
416,huid-4237-AB,3.8987357519518104,3.8986854530032473,38.0
417,huid-9168-AA,3.8771569595839117,3.8771507456019387,38.0
418,huid-4117-AB,3.6358975536493925,3.6360343094122944,38.0
419,huid-7985-AB,3.736416862025015,3.7363837984892476,38.0
420,huid-5491-AA,4.057459411269871,4.057539290161623,38.0
421,huid-1608-AB,3.6168946171250584,3.6168912993064026,38.0
422,huid-12410-AB,3.767732329232257,3.7677316414226283,38.0
423,huid-11867-AB,4.2113057020186,4.211911083844454,38.0
424,huid-6574-AA,3.777183720378293,3.7771852880777304,38.0
425,huid-8505-AB,3.706302460157683,3.70630982984522,38.0
426,huid-11453-AA,3.5408085558370237,3.5408129521404135,38.0
427,huid-16205-AA,3.7327738579185397,3.7327642702457107,38.0
428,huid-16205-AB,3.7355495936270855,3.7355516178577055,38.0
429,huid-14373-AA,3.6438292109278163,3.643862958274143,38.0
430,huid-12123-AA,3.8591903084769967,3.8592913521834467,38.0
431,huid-161-AB,3.2651175686384137,3.265123964384445,38.0
432,huid-11689-AB,3.6240511296639375,3.6240418683738382,38.0
433,huid-7970-AB,3.666341328782246,3.666343143156404,38.0
434,huid-15620-AA,3.4093748746647665,3.4094002031661916,38.0
435,huid-7074-AB,3.556082073539314,3.556093526802976,38.0
436,huid-15045-AA,4.019238953586344,4.0192722195753,38.0
